
---------------------------------------------------------
Model: STEN | Network: LSTM | Dataset: MSL
Runs: 5 | Time: 11-28 13.08.01
Param,[seq_len]=10
Param,[batch_size]=64
Param,[epoch]=10
Param,[lr]=1e-05
Param,[hidden_dim]=256
Param,[stride]=1
Param,[alpha]=1
Param,[beta]=1
Note: 
---------------------------------------------------------
data,auroc,std,aupr,std,best_f1,std,best_p,std,best_r,std,aff_p,std,aff_r,std,vus_r_auroc,std,vus_r_aupr,std,vus_roc,std,vus_pr,std,time,Network
MSL, 0.9953,0.0007,0.9543,0.0052,0.9078,0.0142, 0.8824,0.0267,0.9362,0.0317,0.4947,0.0122,0.8833,0.0163,0.9538,0.0008,0.8526,0.0055,0.9553,0.0011,0.8517,0.0064, LSTM

---------------------------------------------------------
Model: STEN | Network: LSTM | Dataset: Epilepsy
Runs: 5 | Time: 11-29 06.09.27
Param,[seq_len]=10
Param,[batch_size]=64
Param,[epoch]=10
Param,[lr]=1e-05
Param,[hidden_dim]=256
Param,[stride]=1
Param,[alpha]=1
Param,[beta]=1
Note: 
---------------------------------------------------------
data,auroc,std,aupr,std,best_f1,std,best_p,std,best_r,std,aff_p,std,aff_r,std,vus_r_auroc,std,vus_r_aupr,std,vus_roc,std,vus_pr,std,time,Network
Epilepsy, 0.9965,0.0004,0.9836,0.0022,0.9796,0.0081, 0.9668,0.0092,0.9929,0.0143,0.5658,0.0480,0.8093,0.0260,0.9647,0.0009,0.9390,0.0017,0.9664,0.0005,0.9423,0.0013, 581.9258, LSTM

---------------------------------------------------------
Model: STEN | Network: LSTM | Dataset: PSM
Runs: 5 | Time: 11-30 03.52.55
Param,[seq_len]=10
Param,[batch_size]=256
Param,[epoch]=10
Param,[lr]=1e-05
Param,[hidden_dim]=256
Param,[stride]=1
Param,[alpha]=1
Param,[beta]=1
Note: 
---------------------------------------------------------
data,auroc,std,aupr,std,best_f1,std,best_p,std,best_r,std,aff_p,std,aff_r,std,vus_r_auroc,std,vus_r_aupr,std,vus_roc,std,vus_pr,std,time,Network
PSM, 0.9976,0.0003,0.9950,0.0006,0.9792,0.0035, 0.9822,0.0101,0.9763,0.0039,0.5452,0.0208,0.6895,0.0189,0.9733,0.0011,0.9550,0.0053,0.9657,0.0011,0.9433,0.0038, 822.9869, LSTM

---------------------------------------------------------
Model: STEN | Network: LSTM | Dataset: MSL,PSM,Epilepsy
Runs: 5 | Time: 12-01 16.29.43
Param,[seq_len]=10
Param,[batch_size]=64
Param,[epoch]=10
Param,[lr]=1e-05
Param,[hidden_dim]=256
Param,[stride]=1
Param,[alpha]=1
Param,[beta]=1
Note: 
---------------------------------------------------------

---------------------------------------------------------
Model: STEN | Network: LSTM | Dataset: MSL,PSM,Epilepsy
Runs: 5 | Time: 12-01 16.30.01
Param,[seq_len]=10
Param,[batch_size]=64
Param,[epoch]=10
Param,[lr]=1e-05
Param,[hidden_dim]=256
Param,[stride]=1
Param,[alpha]=1
Param,[beta]=1
Note: 
---------------------------------------------------------

---------------------------------------------------------
Model: STEN | Network: LSTM | Dataset: MSL,PSM,Epilepsy
Runs: 5 | Time: 12-01 16.31.19
Param,[seq_len]=10
Param,[batch_size]=64
Param,[epoch]=10
Param,[lr]=1e-05
Param,[hidden_dim]=256
Param,[stride]=1
Param,[alpha]=1
Param,[beta]=1
Note: 
---------------------------------------------------------

---------------------------------------------------------
Model: STEN | Network: LSTM | Dataset: MSL,PSM,Epilepsy
Runs: 5 | Time: 12-01 16.35.40
Param,[seq_len]=10
Param,[batch_size]=64
Param,[epoch]=10
Param,[lr]=1e-05
Param,[hidden_dim]=256
Param,[stride]=1
Param,[alpha]=1
Param,[beta]=1
Note: 
---------------------------------------------------------

---------------------------------------------------------
Model: STEN | Network: LSTM | Dataset: MSL,PSM,Epilepsy
Runs: 5 | Time: 12-01 16.37.08
Param,[seq_len]=10
Param,[batch_size]=64
Param,[epoch]=10
Param,[lr]=1e-05
Param,[hidden_dim]=256
Param,[stride]=1
Param,[alpha]=1
Param,[beta]=1
Note: 
---------------------------------------------------------

---------------------------------------------------------
Model: STEN | Network: LSTM | Dataset: MSL,PSM,Epilepsy
Runs: 5 | Time: 12-01 16.37.35
Param,[seq_len]=10
Param,[batch_size]=64
Param,[epoch]=10
Param,[lr]=1e-05
Param,[hidden_dim]=256
Param,[stride]=1
Param,[alpha]=1
Param,[beta]=1
Note: 
---------------------------------------------------------
